image,color_entropy
D:\project\city_AI\Selected\Three Styles Color\S1\1.0_876.0_LITTLE_INDIA3.jpg,3.876683483
D:\project\city_AI\Selected\Three Styles Color\S1\102.0_808.0_LITTLE_INDIA.jpg,4.422292706
D:\project\city_AI\Selected\Three Styles Color\S1\1097.0_397.0_LITTLE_INDIA3.jpg,3.54829501
D:\project\city_AI\Selected\Three Styles Color\S1\1240.0_72.0_JALAN_BESAR3.jpg,4.37004027
D:\project\city_AI\Selected\Three Styles Color\S1\1267.0_1198.0_LITTLE_INDIA2.jpg,4.184907226
D:\project\city_AI\Selected\Three Styles Color\S1\129.0_1053.0_LITTLE_INDIA4.jpg,4.258651235
D:\project\city_AI\Selected\Three Styles Color\S1\132.0_831.0_LITTLE_INDIA.jpg,3.864980323
D:\project\city_AI\Selected\Three Styles Color\S1\1722_1610_CHINATOWN_(TELOK_AYER)2.jpg,3.476631764
D:\project\city_AI\Selected\Three Styles Color\S1\18.0_286.0_LITTLE_INDIA2.jpg,3.439084398
D:\project\city_AI\Selected\Three Styles Color\S1\187_278_KAMPONG_GLAM2.jpg,4.562097935
D:\project\city_AI\Selected\Three Styles Color\S1\242_333_KAMPONG_GLAM3.jpg,4.627255467
D:\project\city_AI\Selected\Three Styles Color\S1\250_737_CHINATOWN_(BUKIT_PASOH).jpg,4.000249358
D:\project\city_AI\Selected\Three Styles Color\S1\263_64_KAMPONG_GLAM.jpg,3.609115198
D:\project\city_AI\Selected\Three Styles Color\S1\263_64_KAMPONG_GLAM2.jpg,3.637574268
D:\project\city_AI\Selected\Three Styles Color\S1\264_590_CHINATOWN_(BUKIT_PASOH)2.jpg,3.937316137
D:\project\city_AI\Selected\Three Styles Color\S1\267_792_CHINATOWN_(BUKIT_PASOH)3.jpg,3.576196075
D:\project\city_AI\Selected\Three Styles Color\S1\273.0_450.0_LITTLE_INDIA2.jpg,4.567387989
D:\project\city_AI\Selected\Three Styles Color\S1\273_174_KAMPONG_GLAM2.jpg,3.906867658
D:\project\city_AI\Selected\Three Styles Color\S1\279.0_737.0_LITTLE_INDIA.jpg,4.084761984
D:\project\city_AI\Selected\Three Styles Color\S1\291.0_1119.0_LITTLE_INDIA3.jpg,3.755068248
D:\project\city_AI\Selected\Three Styles Color\S1\305_631_KAMPONG_GLAM3.jpg,3.834372706
D:\project\city_AI\Selected\Three Styles Color\S1\322.0_574.0_LITTLE_INDIA2.jpg,4.176016386
