RGB,HSV,Proportion,Street Name,District,R,G,B,H,S,V
"167.82891701480023, 169.21555791092214, 168.89889228337753","75, 3, 169",0.095481097,ALIWAL_St_A,KG,168,169,169,75,3,169
"179.1373097915062, 180.2092384363637, 179.766338770452","60, 1, 180",0.095152173,ALIWAL_St_A,KG,179,180,180,60,1,180
"157.8605295052243, 158.12253494569367, 156.38299981145465","45, 3, 158",0.092080236,ALIWAL_St_A,KG,158,158,156,45,3,158
"190.0596253007859, 191.61651770368007, 191.67485963101444","90, 1, 191",0.086613556,ALIWAL_St_A,KG,190,192,192,90,1,191
"133.11029848895708, 132.70366608865936, 130.49405499132277","20, 6, 133",0.079936855,ALIWAL_St_A,KG,133,133,130,20,6,133
"144.16184236730643, 146.23197840911527, 145.68451485746465","75, 3, 146",0.072129013,ALIWAL_St_A,KG,144,146,146,75,3,146
"105.20539444963745, 108.28798721543498, 106.49793420640925","70, 7, 108",0.063588412,ALIWAL_St_A,KG,105,108,106,70,7,108
"92.85558478750167, 95.33860896498007, 93.51530238442635","70, 8, 95",0.059383846,ALIWAL_St_A,KG,93,95,94,70,8,95
"116.74678224095958, 121.35323261358275, 120.75709305067755","84, 11, 121",0.057010437,ALIWAL_St_A,KG,117,121,121,84,11,121
"88.202745575339, 83.04960392683418, 75.23504000636996","18, 38, 88",0.050236498,ALIWAL_St_A,KG,88,83,75,18,38,88
"206.3277011717347, 204.19646749100616, 202.1536220625214","15, 5, 206",0.045966941,ALIWAL_St_A,KG,206,204,202,15,5,206
"133.0124680263969, 118.48085602172425, 104.3578497676352","14, 56, 133",0.036962969,ALIWAL_St_A,KG,133,118,104,14,56,133
"159.03743457957506, 144.20348491021366, 129.30248519226345","15, 48, 159",0.031576164,ALIWAL_St_A,KG,159,144,129,15,48,159
"114.86679412529641, 98.4669157903549, 81.80764751888819","15, 74, 114",0.028527544,ALIWAL_St_A,KG,115,98,82,15,74,114
"67.01543222700421, 82.43268391970784, 88.89872471232107","99, 61, 88",0.023829345,ALIWAL_St_A,KG,67,82,89,99,61,88
"99.00154809332128, 66.9809220261417, 48.51353443367968","11, 131, 99",0.02186771,ALIWAL_St_A,KG,99,67,49,11,131,99
"146.28109120085603, 81.93843273599167, 78.51125969509394","1, 119, 146",0.018548212,ALIWAL_St_A,KG,146,82,79,1,119,146
"191.27756247900206, 169.15824967196707, 148.17994568368425","15, 57, 191",0.01624922,ALIWAL_St_A,KG,191,169,148,15,57,191
"230.9845027571923, 226.55187931796954, 219.36787728971296","19, 12, 230",0.015665294,ALIWAL_St_A,KG,231,227,219,19,12,230
"178.77507287054698, 119.61346216128779, 100.17602288674688","7, 112, 178",0.00919448,ALIWAL_St_A,KG,179,120,100,7,112,178
"184.0185008771524, 185.5251197255171, 183.18324144683302","45, 3, 185",0.118941667,ALIWAL_St_B,KG,184,186,183,45,3,185
"193.60976182348466, 195.32379062444545, 193.42901881229335","60, 3, 195",0.115765459,ALIWAL_St_B,KG,194,195,193,60,3,195
"173.39269254525612, 174.77104813038704, 171.9649118639066","40, 4, 174",0.086342715,ALIWAL_St_B,KG,173,175,172,40,4,174
"205.15979298381723, 205.77844376987184, 203.25618567005074","30, 2, 205",0.079562633,ALIWAL_St_B,KG,205,206,203,30,2,205
"160.87090693392662, 163.00244546825004, 159.46069419273647","53, 6, 163",0.070390396,ALIWAL_St_B,KG,161,163,159,53,6,163
"98.18096438316722, 95.609805863127, 88.99592672612873","21, 26, 98",0.068424367,ALIWAL_St_B,KG,98,96,89,21,26,98
"149.72281971140518, 150.43740309601466, 145.4414720383178","36, 8, 150",0.062487821,ALIWAL_St_B,KG,150,150,145,36,8,150
"112.09793582939123, 108.6967698474871, 101.3554248931604","19, 25, 112",0.061630953,ALIWAL_St_B,KG,112,109,101,19,25,112
"87.08873403628512, 82.49833077209719, 75.79616872454102","18, 35, 87",0.058066051,ALIWAL_St_B,KG,87,82,76,18,35,87
"136.93839228176972, 136.82031384722686, 131.69860502264817","30, 9, 136",0.056422053,ALIWAL_St_B,KG,137,137,132,30,9,136
"217.3264754268419, 217.7705500822699, 215.28988521834546","30, 2, 217",0.054235526,ALIWAL_St_B,KG,217,218,215,30,2,217
"125.62075844281829, 121.9323970339449, 114.80314540176032","19, 22, 125",0.051069573,ALIWAL_St_B,KG,126,122,115,19,22,125
"110.51422137365286, 126.99246095854555, 131.45400695157747","97, 41, 131",0.020843803,ALIWAL_St_B,KG,111,127,131,97,41,131
"92.14927019469117, 106.40681835673112, 108.8865659390085","94, 38, 108",0.020052058,ALIWAL_St_B,KG,92,106,109,94,38,108
"236.57508731083593, 237.06547525407854, 232.78054305759173","36, 5, 237",0.016297938,ALIWAL_St_B,KG,237,237,233,36,5,237
"66.72973539062372, 86.33613768066512, 85.90201075194587","89, 59, 86",0.014721628,ALIWAL_St_B,KG,67,86,86,89,59,86
"123.17711796400849, 151.7402269861278, 157.59776835186665","95, 55, 157",0.013386841,ALIWAL_St_B,KG,123,152,158,95,55,157
"187.32537182503103, 173.95051636828327, 150.8212448662226","19, 50, 187",0.012890462,ALIWAL_St_B,KG,187,174,151,19,50,187
"151.4073998573023, 180.52966058506246, 184.71552339211053","94, 46, 184",0.010050643,ALIWAL_St_B,KG,151,181,185,94,46,184
"102.6953267615973, 51.83643665572488, 46.44158451990728","3, 140, 102",0.008417413,ALIWAL_St_B,KG,103,52,46,3,140,102
"158.3761693495031, 162.031263768432, 162.09312017802682","90, 6, 162",0.089147434,ARAB_St_A,KG,158,162,162,90,6,162
"178.9978236046513, 179.46609956418246, 177.28781847137662","45, 3, 179",0.087222597,ARAB_St_A,KG,179,179,177,45,3,179
"99.88850725437587, 94.62382865932683, 88.90110401435906","16, 28, 99",0.081449688,ARAB_St_A,KG,100,95,89,16,28,99
"126.7213497392196, 127.16655332392348, 124.86031178860392","40, 6, 127",0.079281132,ARAB_St_A,KG,127,127,125,40,6,127
"197.83264460131608, 197.50933674452165, 196.23376190164186","30, 1, 197",0.070707276,ARAB_St_A,KG,198,198,196,30,1,197
"150.7336393791777, 145.6829891129429, 136.83268842775095","19, 24, 150",0.070395196,ARAB_St_A,KG,151,146,137,19,24,150
"120.74886730533397, 111.18976123726371, 101.20033083994379","16, 40, 120",0.068664467,ARAB_St_A,KG,121,111,101,16,40,120
"92.21667207158993, 76.15693730914158, 63.485292461135174","13, 80, 92",0.06698998,ARAB_St_A,KG,92,76,63,13,80,92
"75.20819002547455, 83.5632439869699, 87.70434062807188","100, 35, 87",0.058970095,ARAB_St_A,KG,75,84,88,100,35,87
"97.36551438672846, 108.6510757678266, 118.15727617087417","104, 45, 118",0.054766274,ARAB_St_A,KG,97,109,118,104,45,118
"126.16986869108119, 142.9953035860226, 152.2642786539311","102, 44, 152",0.045308305,ARAB_St_A,KG,126,143,152,102,44,152
"187.45183782165913, 163.87253150959504, 139.66146962174687","15, 65, 187",0.035969453,ARAB_St_A,KG,187,164,140,15,65,187
"160.02495198914872, 129.0120556857868, 100.93792415304917","15, 96, 160",0.033486531,ARAB_St_A,KG,160,129,101,15,96,160
"134.43521753628383, 87.2743958131075, 70.43716746171135","8, 122, 134",0.031492648,ARAB_St_A,KG,134,87,70,8,122,134
"55.754150830172975, 103.91231323184785, 123.02942126886535","99, 141, 123",0.029726709,ARAB_St_A,KG,56,104,123,99,141,123
"96.02582447928506, 51.638795242350625, 40.11571147153634","6, 149, 96",0.027770551,ARAB_St_A,KG,96,52,40,6,149,96
"28.1206214879967, 77.531781015528, 95.20658501294338","98, 180, 95",0.027218866,ARAB_St_A,KG,28,78,95,98,180,95
"219.88769352124092, 220.87832276832847, 223.71464821673698","113, 5, 223",0.023920192,ARAB_St_A,KG,220,221,224,113,5,223
"45.363560904781664, 112.23006156187944, 171.68953909293154","104, 188, 171",0.009902654,ARAB_St_A,KG,45,112,172,104,188,171
"102.72006248873427, 158.8963528210144, 55.08048428767722","46, 166, 158",0.007609952,ARAB_St_A,KG,103,159,55,46,166,158
"89.36718400936977, 79.20208990722749, 71.92382606704679","13, 52, 89",0.093975399,ARAB_St_B,KG,89,79,72,13,52,89
"159.22228290730115, 154.2284130055642, 142.15970210333282","21, 27, 159",0.088215434,ARAB_St_B,KG,159,154,142,21,27,159
"177.17242057267893, 171.7623110349724, 160.49848993011577","19, 24, 177",0.086848184,ARAB_St_B,KG,177,172,160,19,24,177
"121.66903737140933, 116.61044244356324, 108.67068990203876","18, 27, 121",0.084949249,ARAB_St_B,KG,122,117,109,18,27,121
"96.9791113803551, 96.94469887952566, 94.66560061509733","30, 5, 96",0.080101359,ARAB_St_B,KG,97,97,95,30,5,96
"148.8036989099945, 134.8359955984664, 116.37635123866646","17, 55, 148",0.064037995,ARAB_St_B,KG,149,135,116,17,55,148
"199.37086350665305, 191.04394708775678, 178.44090139737358","19, 27, 199",0.059695952,ARAB_St_B,KG,199,191,178,19,27,199
"129.84043697823608, 136.90350739649855, 137.530221354786","94, 15, 137",0.052836876,ARAB_St_B,KG,130,137,138,94,15,137
"123.20915604004333, 100.0666719132254, 81.15588259255219","14, 87, 123",0.051100863,ARAB_St_B,KG,123,100,81,14,87,123
"171.76179174014933, 110.51226775176201, 92.42450264479407","7, 118, 171",0.048949435,ARAB_St_B,KG,172,111,92,7,118,171
"211.16715435269916, 212.3995376980372, 209.30800664386004","40, 4, 212",0.047873721,ARAB_St_B,KG,211,212,209,40,4,212
"171.40983369752692, 187.17866416278062, 197.548206063426","102, 34, 197",0.039727922,ARAB_St_B,KG,171,187,198,102,34,197
"141.0049235179765, 161.24396343194712, 170.0656495031383","99, 44, 170",0.036881457,ARAB_St_B,KG,141,161,170,99,44,170
"98.13715045530037, 54.84053912494686, 41.16480780080148","7, 148, 98",0.035536312,ARAB_St_B,KG,98,55,41,7,148,98
"143.0878802672603, 73.15948251103025, 58.4980472114422","5, 152, 143",0.03001707,ARAB_St_B,KG,143,73,58,5,152,143
"236.11160685558576, 239.36636886264625, 236.57371457991724","60, 3, 239",0.026759784,ARAB_St_B,KG,236,239,237,60,3,239
"40.89495708269298, 77.5704778984392, 98.48013738036738","101, 151, 98",0.025445214,ARAB_St_B,KG,41,78,98,101,151,98
"84.84676659764713, 120.2874606420854, 135.92265669151226","99, 96, 135",0.021276428,ARAB_St_B,KG,85,120,136,99,96,135
"203.258935332473, 151.1075950325411, 106.52064970470245","14, 122, 203",0.01899983,ARAB_St_B,KG,203,151,107,14,122,203
"26.511264027132285, 101.59144611473818, 167.35193732797308","104, 215, 167",0.006771515,ARAB_St_B,KG,27,102,167,104,215,167
"163.18337863173582, 139.64053892999573, 127.38280307544588","10, 56, 163",0.084655909,BAGHDAD_St_A,KG,163,140,127,10,56,163
"170.79927979230234, 155.0831588644307, 147.02460430448755","10, 35, 170",0.073375911,BAGHDAD_St_A,KG,171,155,147,10,35,170
"145.93120964423784, 147.7000125203548, 145.97826825733802","60, 3, 147",0.068558835,BAGHDAD_St_A,KG,146,148,146,60,3,147
"103.76521818180827, 93.39469090910575, 88.04327272726225","10, 37, 103",0.067489466,BAGHDAD_St_A,KG,104,93,88,10,37,103
"188.6003299422497, 173.1243515718247, 168.90109064247764","8, 27, 188",0.066946178,BAGHDAD_St_A,KG,189,173,169,8,27,188
"128.57750435961623, 130.81881418329743, 129.68360782794147","75, 4, 130",0.063452906,BAGHDAD_St_A,KG,129,131,130,75,4,130
"90.0114259972049, 77.43201736425578, 70.6578548611813","11, 57, 90",0.060130488,BAGHDAD_St_A,KG,90,77,71,11,57,90
"150.2348392684026, 119.50883559807664, 111.1795987380593","6, 66, 150",0.059545408,BAGHDAD_St_A,KG,150,120,111,6,66,150
"119.95712186081406, 113.50139519032552, 109.04343195517575","12, 21, 119",0.057836876,BAGHDAD_St_A,KG,120,114,109,12,21,119
"160.99393840485948, 167.6314317021562, 170.46490103279217","99, 15, 170",0.052655968,BAGHDAD_St_A,KG,161,168,170,99,15,170
"187.8456038647242, 189.32490338165877, 191.23504830919478","105, 5, 191",0.050819604,BAGHDAD_St_A,KG,188,189,191,105,5,191
"208.01889444096395, 207.8893660212538, 210.84363939207725","130, 4, 210",0.047205874,BAGHDAD_St_A,KG,208,208,211,130,4,210
"91.38684965620804, 57.872908884213516, 45.40736830709892","8, 129, 91",0.04544326,BAGHDAD_St_A,KG,91,58,45,8,129,91
"132.42656281905576, 100.54073685132629, 89.57428313058789","8, 83, 132",0.042299069,BAGHDAD_St_A,KG,132,101,90,8,83,132
